#SWEEP_BEGIN id=2 low=100.0 high=200.0 hold_ms=800 cycles=3 hz=50
t_ms,cmd_deg,set_deg,now_deg,err_deg,cur_mA,duty_pct
2858,100.0,100.0,99.6,0.4,0,1.5
2868,100.0,100.0,99.6,0.3,0,1.4
2878,100.0,100.0,99.7,0.3,0,1.4
2888,100.0,100.0,99.6,0.3,0,1.4
2898,100.0,100.0,99.6,0.4,0,1.4
2908,100.0,100.0,99.6,0.3,0,1.5
2918,100.0,100.0,99.6,0.4,0,1.5
2928,100.0,100.0,99.6,0.4,0,1.5
2938,100.0,100.0,99.7,0.4,0,1.4
2948,100.0,100.0,99.6,0.3,0,1.4
2958,100.0,100.0,99.6,0.4,0,1.5
2969,100.0,100.0,99.6,0.4,0,1.4
2978,100.0,100.0,99.6,0.3,0,1.5
2988,100.0,100.0,99.6,0.4,0,1.4
2998,100.0,100.0,99.6,0.4,0,1.5
3008,100.0,100.0,99.6,0.4,0,1.5
3018,100.0,100.0,99.6,0.4,0,1.5
3028,100.0,100.0,99.6,0.4,0,1.4
3038,100.0,100.0,99.6,0.4,0,1.5
3048,100.0,100.0,99.6,0.3,0,1.5
3058,100.0,100.0,99.6,0.4,0,1.5
3068,100.0,100.0,99.7,0.4,0,1.4
3078,100.0,100.0,99.7,0.3,0,1.4
3088,100.0,100.0,99.6,0.4,0,1.4
3098,100.0,100.0,99.7,0.4,0,1.5
3108,100.0,100.0,99.6,0.4,0,1.4
3118,100.0,100.0,99.6,0.4,0,1.4
3128,100.0,100.0,99.6,0.4,0,1.5
3138,100.0,100.0,99.7,0.4,0,1.5
3148,100.0,100.0,99.6,0.3,0,1.4
3158,100.0,100.0,99.6,0.4,0,1.4
3168,100.0,100.0,99.7,0.4,0,1.5
3178,100.0,100.0,99.7,0.3,0,1.4
3188,100.0,100.0,99.7,0.4,0,1.5
3199,100.0,100.0,99.6,0.4,0,1.4
3208,100.0,100.0,99.6,0.4,0,1.5
3218,100.0,100.0,99.7,0.4,0,1.5
3228,100.0,100.0,99.6,0.4,0,1.4
3238,100.0,100.0,99.7,0.3,0,1.4
3249,200.0,200.0,99.5,100.4,3,60.0
3258,200.0,200.0,99.6,100.3,537,42.2
3268,200.0,200.0,101.2,98.5,489,44.7
3278,200.0,200.0,104.8,94.8,418,49.1
3288,200.0,200.0,110.2,89.7,377,51.1
3298,200.0,200.0,116.5,83.2,355,52.2
3308,200.0,200.0,123.1,76.8,337,53.4
3318,200.0,200.0,129.7,69.8,344,53.5
3328,200.0,200.0,136.5,63.2,326,54.3
3338,200.0,200.0,143.0,56.6,317,54.4
3348,200.0,200.0,149.9,49.5,327,54.2
3358,200.0,200.0,156.7,42.7,335,54.1
3368,200.0,200.0,163.7,35.8,333,54.5
3378,200.0,200.0,170.4,29.4,328,54.6
3390,200.0,200.0,177.3,22.5,309,54.2
3398,200.0,200.0,183.8,16.0,179,44.6
3408,200.0,200.0,190.5,9.3,38,25.4
3418,200.0,200.0,191.7,5.6,192,12.2
3428,200.0,200.0,192.8,4.3,39,3.8
3438,200.0,200.0,200.3,-0.4,-8,-5.0
3448,200.0,200.0,200.8,-0.8,-0,-4.6
3458,200.0,200.0,200.9,-0.9,-0,-4.1
3468,200.0,200.0,200.9,-0.9,-0,-4.0
3479,200.0,200.0,201.0,-0.9,-0,-3.9
3489,200.0,200.0,200.9,-0.9,-0,-3.9
3498,200.0,200.0,200.9,-1.0,-0,-3.9
3508,200.0,200.0,200.9,-0.9,-0,-3.8
3518,200.0,200.0,200.9,-0.9,-0,-3.8
3528,200.0,200.0,201.0,-0.9,-0,-3.8
3538,200.0,200.0,200.9,-0.9,-0,-3.8
3548,200.0,200.0,200.9,-0.9,-0,-3.8
3558,200.0,200.0,200.9,-0.9,-0,-3.8
3568,200.0,200.0,200.9,-0.9,-0,-3.8
3578,200.0,200.0,200.9,-0.9,-0,-3.8
3588,200.0,200.0,200.9,-1.0,-0,-3.9
3598,200.0,200.0,200.9,-1.0,-0,-3.8
3608,200.0,200.0,200.9,-0.9,-0,-3.8
3618,200.0,200.0,200.9,-0.9,-0,-3.8
3628,200.0,200.0,201.0,-0.9,-0,-3.8
3638,200.0,200.0,200.9,-0.9,-0,-3.8
3648,200.0,200.0,200.9,-0.9,-0,-3.8
3658,200.0,200.0,200.9,-0.9,-0,-3.8
3668,200.0,200.0,200.9,-0.9,-0,-3.8
3678,200.0,200.0,200.9,-0.9,-0,-3.8
3689,200.0,200.0,200.9,-0.9,-0,-3.8
3698,200.0,200.0,201.0,-0.9,-0,-3.8
3708,200.0,200.0,200.9,-0.9,-0,-3.8
3718,200.0,200.0,200.9,-0.9,-0,-3.8
3728,200.0,200.0,200.9,-0.9,-0,-3.8
3738,200.0,200.0,200.9,-0.9,-0,-3.8
3748,200.0,200.0,200.9,-0.9,-0,-3.8
3758,200.0,200.0,200.9,-0.9,-0,-3.8
3768,200.0,200.0,200.9,-0.9,-0,-3.8
3778,200.0,200.0,200.9,-0.9,-0,-3.8
3789,200.0,200.0,200.9,-0.9,-0,-3.8
3798,200.0,200.0,201.0,-0.9,-0,-3.8
3808,200.0,200.0,200.9,-0.9,-0,-3.8
3818,200.0,200.0,200.9,-0.9,-0,-3.8
3828,200.0,200.0,200.9,-0.9,-0,-3.8
3838,200.0,200.0,200.9,-0.9,-0,-3.7
3848,200.0,200.0,200.9,-0.9,-0,-3.8
3858,200.0,200.0,200.9,-0.9,-0,-3.8
3868,200.0,200.0,200.9,-0.9,-0,-3.8
3878,200.0,200.0,200.9,-0.9,-0,-3.8
3888,200.0,200.0,200.9,-0.9,-0,-3.8
3898,200.0,200.0,200.9,-0.9,-0,-3.8
3908,200.0,200.0,200.9,-0.9,-0,-3.8
3918,200.0,200.0,200.9,-0.9,-0,-3.8
3928,200.0,200.0,200.9,-0.9,-0,-3.8
3938,200.0,200.0,200.9,-0.9,-0,-3.8
3948,200.0,200.0,200.9,-0.9,-0,-3.8
3958,200.0,200.0,200.9,-1.0,-0,-3.8
3968,200.0,200.0,200.9,-0.9,-0,-3.8
3978,200.0,200.0,200.9,-0.9,-0,-3.8
3988,200.0,200.0,200.9,-1.0,-0,-3.8
3999,200.0,200.0,200.9,-0.9,-0,-3.8
4008,200.0,200.0,200.9,-0.9,-0,-3.8
4018,200.0,200.0,200.9,-0.9,-0,-3.8
4028,200.0,200.0,200.9,-0.9,-0,-3.8
4038,200.0,200.0,200.9,-0.9,-0,-3.8
4048,200.0,200.0,200.9,-0.9,-0,-3.8
4059,100.0,100.0,201.0,-101.0,-3,-60.0
4068,100.0,100.0,200.9,-100.8,-537,-42.2
4078,100.0,100.0,199.0,-98.9,-490,-44.5
4088,100.0,100.0,195.2,-95.1,-423,-49.0
4098,100.0,100.0,190.3,-90.1,-374,-51.0
4108,100.0,100.0,184.5,-84.2,-352,-52.1
4118,100.0,100.0,178.7,-78.4,-337,-53.2
4128,100.0,100.0,172.4,-71.9,-347,-53.7
4138,100.0,100.0,165.9,-65.8,-316,-54.4
4148,100.0,100.0,159.4,-59.0,-320,-54.2
4158,100.0,100.0,152.5,-52.1,-309,-54.2
4168,100.0,100.0,145.5,-45.0,-336,-54.2
4178,100.0,100.0,139.0,-38.7,-330,-54.4
4188,100.0,100.0,131.9,-31.7,-320,-54.8
4199,100.0,100.0,124.7,-24.3,-329,-54.5
4208,100.0,100.0,117.8,-17.5,-211,-46.9
4218,100.0,100.0,110.3,-10.1,-43,-27.7
4228,100.0,100.0,105.6,-9.6,-160,-14.7
4238,100.0,100.0,101.7,-1.6,-0,-1.0
4248,100.0,100.0,100.3,-0.2,0,1.5
4258,100.0,100.0,99.8,0.2,0,1.6
4268,100.0,100.0,99.7,0.3,0,1.7
4278,100.0,100.0,99.6,0.4,0,1.8
4288,100.0,100.0,99.6,0.4,0,1.8
4298,100.0,100.0,99.6,0.4,0,1.7
4308,100.0,100.0,99.6,0.4,0,1.7
4318,100.0,100.0,99.6,0.4,0,1.6
4328,100.0,100.0,99.6,0.4,0,1.7
4338,100.0,100.0,99.6,0.4,0,1.7
4348,100.0,100.0,99.6,0.4,0,1.7
4358,100.0,100.0,99.6,0.4,0,1.7
4368,100.0,100.0,99.6,0.4,0,1.7
4378,100.0,100.0,99.6,0.4,0,1.6
4388,100.0,100.0,99.5,0.5,0,1.7
4398,100.0,100.0,99.6,0.4,0,1.6
4408,100.0,100.0,99.6,0.4,0,1.7
4418,100.0,100.0,99.6,0.4,0,1.7
4428,100.0,100.0,99.6,0.4,0,1.7
4438,100.0,100.0,99.6,0.4,0,1.7
4448,100.0,100.0,99.6,0.4,0,1.6
4458,100.0,100.0,99.6,0.4,0,1.7
4468,100.0,100.0,99.6,0.4,0,1.7
4478,100.0,100.0,99.6,0.4,0,1.6
4488,100.0,100.0,99.6,0.4,0,1.7
4498,100.0,100.0,99.6,0.4,0,1.6
4509,100.0,100.0,99.6,0.4,0,1.7
4518,100.0,100.0,99.6,0.4,0,1.7
4528,100.0,100.0,99.6,0.4,0,1.7
4538,100.0,100.0,99.6,0.4,0,1.7
4548,100.0,100.0,99.6,0.4,0,1.7
4558,100.0,100.0,99.6,0.4,0,1.6
4568,100.0,100.0,99.6,0.4,0,1.6
4578,100.0,100.0,99.6,0.4,0,1.6
4588,100.0,100.0,99.6,0.4,0,1.7
4598,100.0,100.0,99.6,0.4,0,1.7
4608,100.0,100.0,99.6,0.4,0,1.7
4618,100.0,100.0,99.6,0.4,0,1.7
4628,100.0,100.0,99.6,0.4,0,1.7
4638,100.0,100.0,99.6,0.4,0,1.7
4648,100.0,100.0,99.6,0.4,0,1.7
4658,100.0,100.0,99.6,0.4,0,1.7
4668,100.0,100.0,99.6,0.4,0,1.7
4678,100.0,100.0,99.6,0.4,0,1.7
4688,100.0,100.0,99.6,0.4,0,1.7
4698,100.0,100.0,99.6,0.4,0,1.7
4708,100.0,100.0,99.6,0.4,0,1.7
4718,100.0,100.0,99.6,0.4,0,1.6
4728,100.0,100.0,99.6,0.4,0,1.7
4738,100.0,100.0,99.6,0.4,0,1.7
4748,100.0,100.0,99.6,0.5,0,1.7
4758,100.0,100.0,99.6,0.4,0,1.7
4768,100.0,100.0,99.6,0.4,0,1.7
4778,100.0,100.0,99.6,0.4,0,1.6
4788,100.0,100.0,99.6,0.4,0,1.6
4798,100.0,100.0,99.6,0.4,0,1.6
4808,100.0,100.0,99.6,0.4,0,1.6
4818,100.0,100.0,99.6,0.4,0,1.6
4828,100.0,100.0,99.6,0.4,0,1.6
4838,100.0,100.0,99.6,0.4,0,1.6
4848,100.0,100.0,99.6,0.4,0,1.7
4858,100.0,100.0,99.6,0.4,0,1.6
#SWEEP_END
